"","YEAR","bhatt","comparison"
"1",1980,0,"snowmatmale-tannermatfem"
"2",1981,0,"snowmatmale-tannermatfem"
"3",1982,0,"snowmatmale-tannermatfem"
"4",1983,0,"snowmatmale-tannermatfem"
"5",1984,0,"snowmatmale-tannermatfem"
"6",1985,0,"snowmatmale-tannermatfem"
"7",1986,0,"snowmatmale-tannermatfem"
"8",1987,0,"snowmatmale-tannermatfem"
"9",1988,0,"snowmatmale-tannermatfem"
"10",1989,0.130493915939694,"snowmatmale-tannermatfem"
"11",1990,0.159234207880129,"snowmatmale-tannermatfem"
"12",1991,0.183055587258623,"snowmatmale-tannermatfem"
"13",1992,0.152598729915218,"snowmatmale-tannermatfem"
"14",1993,0.141443956514854,"snowmatmale-tannermatfem"
"15",1994,0.0490110904651296,"snowmatmale-tannermatfem"
"16",1995,0.0902566982340224,"snowmatmale-tannermatfem"
"17",1996,0.126469790906725,"snowmatmale-tannermatfem"
"18",1997,0.211779471967244,"snowmatmale-tannermatfem"
"19",1998,0.192457172778748,"snowmatmale-tannermatfem"
"20",1999,0.107835609771216,"snowmatmale-tannermatfem"
"21",2000,0.110751665764279,"snowmatmale-tannermatfem"
"22",2001,0.0690737330382941,"snowmatmale-tannermatfem"
"23",2002,0.0875946400498611,"snowmatmale-tannermatfem"
"24",2003,0.0722647216206243,"snowmatmale-tannermatfem"
"25",2004,0.092923723591206,"snowmatmale-tannermatfem"
"26",2005,0.188141720748094,"snowmatmale-tannermatfem"
"27",2006,0.191161152807724,"snowmatmale-tannermatfem"
"28",2007,0.317385770009874,"snowmatmale-tannermatfem"
"29",2008,NA,"snowmatmale-tannermatfem"
"30",2009,0.229151643851613,"snowmatmale-tannermatfem"
"31",2010,0.185753308799605,"snowmatmale-tannermatfem"
"32",2011,0.205014694832352,"snowmatmale-tannermatfem"
"33",2012,NA,"snowmatmale-tannermatfem"
"34",2013,0.34836628971252,"snowmatmale-tannermatfem"
"35",2014,NA,"snowmatmale-tannermatfem"
"36",2015,0.120690450523816,"snowmatmale-tannermatfem"
"37",2016,NA,"snowmatmale-tannermatfem"
"38",2017,0.0463021135184392,"snowmatmale-tannermatfem"
"39",2018,0.0693033612223862,"snowmatmale-tannermatfem"
"40",2019,0.104904243746564,"snowmatmale-tannermatfem"
"41",2021,0.131876913179185,"snowmatmale-tannermatfem"
"42",2022,0.0585111852898129,"snowmatmale-tannermatfem"
"43",2023,0.195043476776381,"snowmatmale-tannermatfem"
"44",2024,0.163633083898176,"snowmatmale-tannermatfem"
"45",2025,0.268777986756482,"snowmatmale-tannermatfem"
"46",2020,NA,"snowmatmale-tannermatfem"
"47",1980,0.195896395085906,"snowlgmale-tannermatfem"
"48",1981,0.250878206650886,"snowlgmale-tannermatfem"
"49",1982,0.152181471986605,"snowlgmale-tannermatfem"
"50",1983,0.258744018314405,"snowlgmale-tannermatfem"
"51",1984,0.217048360713902,"snowlgmale-tannermatfem"
"52",1985,0.213708845243091,"snowlgmale-tannermatfem"
"53",1986,0.285106655502486,"snowlgmale-tannermatfem"
"54",1987,0.310867140427007,"snowlgmale-tannermatfem"
"55",1988,0.245963510338403,"snowlgmale-tannermatfem"
"56",1989,0.264861903942137,"snowlgmale-tannermatfem"
"57",1990,0.174088627970511,"snowlgmale-tannermatfem"
"58",1991,0.267806586324395,"snowlgmale-tannermatfem"
"59",1992,0.339648673959961,"snowlgmale-tannermatfem"
"60",1993,0.267189181619127,"snowlgmale-tannermatfem"
"61",1994,0.226845748042843,"snowlgmale-tannermatfem"
"62",1995,0.192914523669732,"snowlgmale-tannermatfem"
"63",1996,0.157111021443679,"snowlgmale-tannermatfem"
"64",1997,0.272898468444012,"snowlgmale-tannermatfem"
"65",1998,0.263721232027809,"snowlgmale-tannermatfem"
"66",1999,0.318035102817798,"snowlgmale-tannermatfem"
"67",2000,0.308468436480563,"snowlgmale-tannermatfem"
"68",2001,0.33805479402883,"snowlgmale-tannermatfem"
"69",2002,0.208464514934039,"snowlgmale-tannermatfem"
"70",2003,0.19315578465373,"snowlgmale-tannermatfem"
"71",2004,0.226355662866983,"snowlgmale-tannermatfem"
"72",2005,0.347140656398302,"snowlgmale-tannermatfem"
"73",2006,0.262723460287668,"snowlgmale-tannermatfem"
"74",2007,0.390824923087263,"snowlgmale-tannermatfem"
"75",2008,0.325680505350048,"snowlgmale-tannermatfem"
"76",2009,0.341376841816629,"snowlgmale-tannermatfem"
"77",2010,0.314533732685917,"snowlgmale-tannermatfem"
"78",2011,0.4565110791704,"snowlgmale-tannermatfem"
"79",2012,0.405183977191364,"snowlgmale-tannermatfem"
"80",2013,0.46193349533721,"snowlgmale-tannermatfem"
"81",2014,0.394760467115163,"snowlgmale-tannermatfem"
"82",2015,0.290195853891835,"snowlgmale-tannermatfem"
"83",2016,0.329948550128575,"snowlgmale-tannermatfem"
"84",2017,0.230538564456903,"snowlgmale-tannermatfem"
"85",2018,0.233849358672748,"snowlgmale-tannermatfem"
"86",2019,0.160981220841932,"snowlgmale-tannermatfem"
"87",2021,0.296723250581628,"snowlgmale-tannermatfem"
"88",2022,0.238452601301059,"snowlgmale-tannermatfem"
"89",2023,0.354936165245997,"snowlgmale-tannermatfem"
"90",2024,0.337258276312517,"snowlgmale-tannermatfem"
"91",2025,0.377293958195998,"snowlgmale-tannermatfem"
"92",2020,NA,"snowlgmale-tannermatfem"
"93",1980,0,"tannermatmale-snowmatfem"
"94",1981,0,"tannermatmale-snowmatfem"
"95",1982,0,"tannermatmale-snowmatfem"
"96",1983,0,"tannermatmale-snowmatfem"
"97",1984,0,"tannermatmale-snowmatfem"
"98",1985,0,"tannermatmale-snowmatfem"
"99",1986,0,"tannermatmale-snowmatfem"
"100",1987,0,"tannermatmale-snowmatfem"
"101",1988,0,"tannermatmale-snowmatfem"
"102",1989,0,"tannermatmale-snowmatfem"
"103",1990,0.187799542014218,"tannermatmale-snowmatfem"
"104",1991,0.151548297278948,"tannermatmale-snowmatfem"
"105",1992,0.171597250344687,"tannermatmale-snowmatfem"
"106",1993,0.133827401141573,"tannermatmale-snowmatfem"
"107",1994,0.0886182977808707,"tannermatmale-snowmatfem"
"108",1995,0.194366063252583,"tannermatmale-snowmatfem"
"109",1996,0.0830303298801347,"tannermatmale-snowmatfem"
"110",1997,0.0568095882814072,"tannermatmale-snowmatfem"
"111",1998,0.0379527144787517,"tannermatmale-snowmatfem"
"112",1999,0.0395345758949852,"tannermatmale-snowmatfem"
"113",2000,0.0194597676898489,"tannermatmale-snowmatfem"
